Attacker,Defender,AttackType,TotalAttacks,Hits,Misses,Dodges,Criticals,HitRate,DodgeRate,CritRate,TotalDamage,AvgDmgPerAttack,AvgDmgPerHit,TotalKills,BattlesSampled
Assassin,Battle Mage,Regular,29,20,0,5,4,0.828,0.172,0.138,321,11.07,13.38,2,4
Assassin,Battle Mage,Counterattack,14,6,3,1,4,0.714,0.071,0.286,38,2.71,3.80,2,3
Assassin,Cleric,Regular,29,15,0,5,9,0.828,0.172,0.310,359,12.38,14.96,6,9
Assassin,Cleric,Counterattack,16,7,5,0,4,0.688,0.000,0.250,46,2.88,4.18,0,7
Assassin,Crossbowman,Regular,24,12,0,2,10,0.917,0.083,0.417,414,17.25,18.82,2,5
Assassin,Crossbowman,Counterattack,13,6,3,2,2,0.615,0.154,0.154,30,2.31,3.75,0,4
Assassin,Fighter,Regular,10,9,0,0,1,1.000,0.000,0.100,61,6.10,6.10,0,6
Assassin,Fighter,Counterattack,6,3,0,0,3,1.000,0.000,0.500,7,1.17,1.17,0,2
Assassin,Goblin Raider,Regular,24,16,0,6,2,0.750,0.250,0.083,349,14.54,19.39,5,8
Assassin,Goblin Raider,Counterattack,11,6,2,2,1,0.636,0.182,0.091,47,4.27,6.71,1,4
Assassin,Knight,Regular,53,36,0,4,13,0.925,0.075,0.245,210,3.96,4.29,2,11
Assassin,Knight,Counterattack,28,18,3,3,4,0.786,0.107,0.143,22,0.79,1.00,0,5
Assassin,Mage,Regular,29,21,0,1,7,0.966,0.034,0.241,445,15.34,15.89,4,8
Assassin,Mage,Counterattack,15,8,4,1,2,0.667,0.067,0.133,27,1.80,2.70,0,5
Assassin,Marksman,Regular,11,9,0,2,0,0.818,0.182,0.000,172,15.64,19.11,3,3
Assassin,Marksman,Counterattack,10,6,0,3,1,0.700,0.300,0.100,55,5.50,7.86,0,2
Assassin,Ogre,Regular,19,15,0,0,4,1.000,0.000,0.211,105,5.53,5.53,1,4
Assassin,Ogre,Counterattack,17,9,4,0,4,0.765,0.000,0.235,13,0.76,1.00,0,4
Assassin,Orc Warrior,Regular,21,11,0,3,7,0.857,0.143,0.333,97,4.62,5.39,0,2
Assassin,Orc Warrior,Counterattack,21,14,1,3,3,0.810,0.143,0.143,18,0.86,1.06,0,2
Assassin,Paladin,Regular,38,28,0,2,8,0.947,0.053,0.211,210,5.53,5.83,0,12
Assassin,Paladin,Counterattack,22,14,3,0,5,0.864,0.000,0.227,20,0.91,1.05,1,6
Assassin,Priest,Regular,23,17,0,1,5,0.957,0.043,0.217,355,15.43,16.14,3,8
Assassin,Priest,Counterattack,12,6,4,0,2,0.667,0.000,0.167,48,4.00,6.00,1,4
Assassin,Ranger,Regular,23,11,0,4,8,0.826,0.174,0.348,325,14.13,17.11,7,4
Assassin,Ranger,Counterattack,17,9,2,3,3,0.706,0.176,0.176,37,2.18,3.08,2,3
Assassin,Rogue,Regular,19,11,0,3,5,0.842,0.158,0.263,326,17.16,20.38,3,6
Assassin,Rogue,Counterattack,8,4,0,0,4,1.000,0.000,0.500,70,8.75,8.75,0,3
Assassin,Scout,Regular,20,16,0,1,3,0.950,0.050,0.150,353,17.65,18.58,4,4
Assassin,Scout,Counterattack,12,6,1,3,2,0.667,0.250,0.167,57,4.75,7.12,3,2
Assassin,Skeleton Archer,Regular,16,9,0,1,6,0.938,0.062,0.375,393,24.56,26.20,5,5
Assassin,Skeleton Archer,Counterattack,4,2,0,1,1,0.750,0.250,0.250,36,9.00,12.00,0,1
Assassin,Sorcerer,Regular,19,13,0,1,5,0.947,0.053,0.263,364,19.16,20.22,3,5
Assassin,Sorcerer,Counterattack,11,4,1,2,4,0.727,0.182,0.364,64,5.82,8.00,2,3
Assassin,Spearman,Regular,20,13,0,2,5,0.900,0.100,0.250,187,9.35,10.39,0,9
Assassin,Spearman,Counterattack,14,10,2,0,2,0.857,0.000,0.143,15,1.07,1.25,0,4
Assassin,Swordsman,Regular,6,5,0,1,0,0.833,0.167,0.000,64,10.67,12.80,0,4
Assassin,Swordsman,Counterattack,3,1,1,0,1,0.667,0.000,0.333,6,2.00,3.00,0,2
Assassin,Warlock,Regular,22,17,0,1,4,0.955,0.045,0.182,367,16.68,17.48,3,6
Assassin,Warlock,Counterattack,21,11,2,2,6,0.810,0.095,0.286,92,4.38,5.41,0,4
Assassin,Warrior,Regular,33,21,0,2,10,0.939,0.061,0.303,355,10.76,11.45,2,5
Assassin,Warrior,Counterattack,13,10,3,0,0,0.769,0.000,0.000,10,0.77,1.00,0,3
Assassin,Wizard,Regular,23,19,0,0,4,1.000,0.000,0.174,414,18.00,18.00,0,7
Assassin,Wizard,Counterattack,2,2,0,0,0,1.000,0.000,0.000,8,4.00,4.00,1,1
Battle Mage,Archer,Regular,33,25,0,7,1,0.788,0.212,0.030,308,9.33,11.85,10,4
Battle Mage,Archer,Counterattack,30,16,7,3,4,0.667,0.100,0.133,64,2.13,3.20,3,4
Battle Mage,Assassin,Regular,14,10,0,3,1,0.786,0.214,0.071,134,9.57,12.18,0,3
Battle Mage,Assassin,Counterattack,12,8,2,2,0,0.667,0.167,0.000,20,1.67,2.50,0,2
Battle Mage,Cleric,Regular,36,32,0,2,2,0.944,0.056,0.056,236,6.56,6.94,5,3
Battle Mage,Cleric,Counterattack,26,21,2,0,3,0.923,0.000,0.115,30,1.15,1.25,1,2
Battle Mage,Crossbowman,Regular,39,29,0,6,4,0.846,0.154,0.103,230,5.90,6.97,6,2
Battle Mage,Crossbowman,Counterattack,33,20,9,2,2,0.667,0.061,0.061,22,0.67,1.00,3,2
Battle Mage,Fighter,Regular,21,17,0,2,2,0.905,0.095,0.095,32,1.52,1.68,0,2
Battle Mage,Fighter,Counterattack,12,7,2,1,2,0.750,0.083,0.167,9,0.75,1.00,0,2
Battle Mage,Goblin Raider,Regular,24,14,0,4,6,0.833,0.167,0.250,278,11.58,13.90,1,4
Battle Mage,Goblin Raider,Counterattack,6,2,1,2,1,0.500,0.333,0.167,10,1.67,3.33,0,2
Battle Mage,Knight,Regular,48,35,0,5,8,0.896,0.104,0.167,51,1.06,1.19,0,2
Battle Mage,Knight,Counterattack,39,25,9,2,3,0.718,0.051,0.077,28,0.72,1.00,0,2
Battle Mage,Mage,Regular,41,34,0,2,5,0.951,0.049,0.122,280,6.83,7.18,6,2
Battle Mage,Mage,Counterattack,36,26,4,0,6,0.889,0.000,0.167,37,1.03,1.16,4,2
Battle Mage,Marksman,Regular,9,5,0,2,2,0.778,0.222,0.222,107,11.89,15.29,0,1
Battle Mage,Marksman,Counterattack,3,3,0,0,0,1.000,0.000,0.000,12,4.00,4.00,0,1
Battle Mage,Ogre,Regular,26,25,0,0,1,1.000,0.000,0.038,31,1.19,1.19,0,2
Battle Mage,Ogre,Counterattack,26,13,6,4,3,0.615,0.154,0.115,16,0.62,1.00,0,2
Battle Mage,Orc Warrior,Regular,36,30,0,2,4,0.944,0.056,0.111,41,1.14,1.21,0,2
Battle Mage,Orc Warrior,Counterattack,36,24,7,2,3,0.750,0.056,0.083,27,0.75,1.00,0,2
Battle Mage,Paladin,Regular,107,82,0,10,15,0.907,0.093,0.140,165,1.54,1.70,0,6
Battle Mage,Paladin,Counterattack,72,48,13,4,7,0.764,0.056,0.097,55,0.76,1.00,0,5
Battle Mage,Priest,Regular,23,19,0,0,4,1.000,0.000,0.174,222,9.65,9.65,6,2
Battle Mage,Priest,Counterattack,14,9,3,0,2,0.786,0.000,0.143,22,1.57,2.00,0,2
Battle Mage,Ranger,Regular,39,30,0,8,1,0.795,0.205,0.026,213,5.46,6.87,6,2
Battle Mage,Ranger,Counterattack,41,30,6,2,3,0.805,0.049,0.073,36,0.88,1.09,0,2
Battle Mage,Rogue,Regular,27,19,0,3,5,0.889,0.111,0.185,282,10.44,11.75,3,2
Battle Mage,Rogue,Counterattack,12,3,4,2,3,0.500,0.167,0.250,19,1.58,3.17,2,2
Battle Mage,Scout,Regular,27,22,0,4,1,0.852,0.148,0.037,241,8.93,10.48,3,2
Battle Mage,Scout,Counterattack,21,9,6,3,3,0.571,0.143,0.143,27,1.29,2.25,0,2
Battle Mage,Skeleton Archer,Regular,18,15,0,1,2,0.944,0.056,0.111,263,14.61,15.47,0,2
Battle Mage,Sorcerer,Regular,34,30,0,2,2,0.941,0.059,0.059,330,9.71,10.31,8,3
Battle Mage,Sorcerer,Counterattack,16,10,2,4,0,0.625,0.250,0.000,15,0.94,1.50,2,2
Battle Mage,Spearman,Regular,18,16,0,0,2,1.000,0.000,0.111,57,3.17,3.17,0,2
Battle Mage,Spearman,Counterattack,18,13,5,0,0,0.722,0.000,0.000,13,0.72,1.00,0,2
Battle Mage,Swordsman,Regular,33,25,0,3,5,0.909,0.091,0.152,196,5.94,6.53,0,3
Battle Mage,Swordsman,Counterattack,14,8,3,2,1,0.643,0.143,0.071,9,0.64,1.00,0,2
Battle Mage,Warlock,Regular,24,17,0,0,7,1.000,0.000,0.292,257,10.71,10.71,6,2
Battle Mage,Warlock,Counterattack,30,15,10,2,3,0.600,0.067,0.100,26,0.87,1.44,2,2
Battle Mage,Warrior,Regular,40,35,0,2,3,0.950,0.050,0.075,113,2.83,2.97,0,4
Battle Mage,Warrior,Counterattack,21,14,2,3,2,0.762,0.143,0.095,16,0.76,1.00,0,3
Battle Mage,Wizard,Regular,38,33,0,1,4,0.974,0.026,0.105,399,10.50,10.78,9,5
Battle Mage,Wizard,Counterattack,9,6,2,0,1,0.778,0.000,0.111,14,1.56,2.00,0,2
Cleric,Archer,Regular,19,13,0,2,4,0.895,0.105,0.211,559,29.42,32.88,13,9
Cleric,Archer,Counterattack,15,8,3,3,1,0.600,0.200,0.067,119,7.93,13.22,1,5
Cleric,Assassin,Regular,11,9,0,0,2,1.000,0.000,0.182,377,34.27,34.27,4,4
Cleric,Assassin,Counterattack,4,2,1,1,0,0.500,0.250,0.000,26,6.50,13.00,0,3
Cleric,Battle Mage,Regular,12,11,0,1,0,0.917,0.083,0.000,220,18.33,20.00,0,2
Cleric,Battle Mage,Counterattack,6,3,0,2,1,0.667,0.333,0.167,31,5.17,7.75,0,1
Cleric,Cleric,Regular,8,7,0,0,1,1.000,0.000,0.125,175,21.88,21.88,2,3
Cleric,Cleric,Counterattack,4,2,1,1,0,0.500,0.250,0.000,8,2.00,4.00,0,2
Cleric,Crossbowman,Regular,13,13,0,0,0,1.000,0.000,0.000,403,31.00,31.00,1,3
Cleric,Fighter,Regular,10,7,0,2,1,0.800,0.200,0.100,195,19.50,24.38,0,3
Cleric,Fighter,Counterattack,2,1,1,0,0,0.500,0.000,0.000,7,3.50,7.00,0,2
Cleric,Goblin Raider,Regular,10,9,0,1,0,0.900,0.100,0.000,263,26.30,29.22,3,3
Cleric,Goblin Raider,Counterattack,6,5,1,0,0,0.833,0.000,0.000,65,10.83,13.00,0,1
Cleric,Knight,Regular,16,16,0,0,0,1.000,0.000,0.000,216,13.50,13.50,2,2
Cleric,Knight,Counterattack,4,3,1,0,0,0.750,0.000,0.000,21,5.25,7.00,0,2
Cleric,Mage,Regular,22,17,0,3,2,0.864,0.136,0.091,448,20.36,23.58,5,7
Cleric,Mage,Counterattack,11,7,3,0,1,0.727,0.000,0.091,54,4.91,6.75,1,3
Cleric,Marksman,Regular,13,9,0,2,2,0.846,0.154,0.154,377,29.00,34.27,6,3
Cleric,Marksman,Counterattack,7,4,2,1,0,0.571,0.143,0.000,52,7.43,13.00,0,2
Cleric,Ogre,Regular,7,6,0,0,1,1.000,0.000,0.143,235,33.57,33.57,0,3
Cleric,Orc Warrior,Regular,16,13,0,2,1,0.875,0.125,0.062,177,11.06,12.64,0,2
Cleric,Orc Warrior,Counterattack,15,10,2,1,2,0.800,0.067,0.133,54,3.60,4.50,3,2
Cleric,Paladin,Regular,17,11,0,1,5,0.941,0.059,0.294,414,24.35,25.88,3,6
Cleric,Paladin,Counterattack,7,4,3,0,0,0.571,0.000,0.000,24,3.43,6.00,0,2
Cleric,Priest,Regular,13,9,0,1,3,0.923,0.077,0.231,260,20.00,21.67,5,5
Cleric,Priest,Counterattack,5,3,1,1,0,0.600,0.200,0.000,16,3.20,5.33,0,2
Cleric,Ranger,Regular,15,13,0,2,0,0.867,0.133,0.000,332,22.13,25.54,5,5
Cleric,Ranger,Counterattack,10,5,2,0,3,0.800,0.000,0.300,89,8.90,11.12,2,3
Cleric,Rogue,Regular,8,5,0,1,2,0.875,0.125,0.250,253,31.62,36.14,6,4
Cleric,Rogue,Counterattack,6,5,0,1,0,0.833,0.167,0.000,65,10.83,13.00,0,2
Cleric,Scout,Regular,16,14,0,1,1,0.938,0.062,0.062,438,27.38,29.20,6,5
Cleric,Scout,Counterattack,6,3,1,2,0,0.500,0.333,0.000,33,5.50,11.00,0,1
Cleric,Skeleton Archer,Regular,13,10,0,0,3,1.000,0.000,0.231,405,31.15,31.15,11,4
Cleric,Skeleton Archer,Counterattack,10,8,2,0,0,0.800,0.000,0.000,72,7.20,9.00,0,2
Cleric,Sorcerer,Regular,14,13,0,1,0,0.929,0.071,0.000,306,21.86,23.54,0,6
Cleric,Sorcerer,Counterattack,6,4,2,0,0,0.667,0.000,0.000,24,4.00,6.00,0,3
Cleric,Spearman,Regular,18,14,0,3,1,0.833,0.167,0.056,322,17.89,21.47,2,4
Cleric,Spearman,Counterattack,6,6,0,0,0,1.000,0.000,0.000,44,7.33,7.33,2,3
Cleric,Swordsman,Regular,16,13,0,2,1,0.875,0.125,0.062,452,28.25,32.29,5,5
Cleric,Swordsman,Counterattack,4,2,1,1,0,0.500,0.250,0.000,26,6.50,13.00,0,2
Cleric,Warlock,Regular,20,18,0,1,1,0.950,0.050,0.050,485,24.25,25.53,13,9
Cleric,Warlock,Counterattack,19,11,6,0,2,0.684,0.000,0.105,107,5.63,8.23,0,7
Cleric,Warrior,Regular,20,17,0,1,2,0.950,0.050,0.100,581,29.05,30.58,5,5
Cleric,Warrior,Counterattack,2,2,0,0,0,1.000,0.000,0.000,16,8.00,8.00,0,1
Cleric,Wizard,Regular,17,17,0,0,0,1.000,0.000,0.000,408,24.00,24.00,2,6
Cleric,Wizard,Counterattack,2,1,1,0,0,0.500,0.000,0.000,6,3.00,6.00,0,2
Crossbowman,Archer,Regular,25,18,0,2,5,0.920,0.080,0.200,558,22.32,24.26,9,8
Crossbowman,Archer,Counterattack,6,1,1,1,3,0.667,0.167,0.500,50,8.33,12.50,0,2
Crossbowman,Assassin,Regular,4,2,0,0,2,1.000,0.000,0.500,113,28.25,28.25,1,2
Crossbowman,Assassin,Counterattack,1,0,0,0,1,1.000,0.000,1.000,14,14.00,14.00,0,1
Crossbowman,Battle Mage,Regular,14,10,0,0,4,1.000,0.000,0.286,246,17.57,17.57,3,2
Crossbowman,Battle Mage,Counterattack,11,6,3,0,2,0.727,0.000,0.182,30,2.73,3.75,1,2
Crossbowman,Cleric,Regular,13,8,0,1,4,0.923,0.077,0.308,247,19.00,20.58,6,2
Crossbowman,Cleric,Counterattack,13,5,6,1,1,0.462,0.077,0.077,27,2.08,4.50,0,2
Crossbowman,Fighter,Regular,10,7,0,3,0,0.700,0.300,0.000,52,5.20,7.43,0,5
Crossbowman,Fighter,Counterattack,4,2,1,0,1,0.750,0.000,0.250,3,0.75,1.00,0,3
Crossbowman,Goblin Raider,Regular,9,5,0,2,2,0.778,0.222,0.222,174,19.33,24.86,3,2
Crossbowman,Goblin Raider,Counterattack,7,4,0,2,1,0.714,0.286,0.143,43,6.14,8.60,2,3
Crossbowman,Knight,Regular,59,47,0,1,11,0.983,0.017,0.186,422,7.15,7.28,7,12
Crossbowman,Knight,Counterattack,24,17,4,0,3,0.833,0.000,0.125,20,0.83,1.00,0,9
Crossbowman,Mage,Regular,19,16,0,0,3,1.000,0.000,0.158,337,17.74,17.74,7,3
Crossbowman,Mage,Counterattack,16,13,2,0,1,0.875,0.000,0.062,36,2.25,2.57,2,2
Crossbowman,Marksman,Regular,14,8,0,5,1,0.643,0.357,0.071,215,15.36,23.89,5,3
Crossbowman,Marksman,Counterattack,13,8,3,2,0,0.615,0.154,0.000,66,5.08,8.25,0,2
Crossbowman,Ogre,Regular,17,12,0,0,5,1.000,0.000,0.294,146,8.59,8.59,5,3
Crossbowman,Ogre,Counterattack,13,12,0,0,1,1.000,0.000,0.077,13,1.00,1.00,0,2
Crossbowman,Orc Warrior,Regular,18,17,0,1,0,0.944,0.056,0.000,62,3.44,3.65,0,3
Crossbowman,Orc Warrior,Counterattack,14,8,3,2,1,0.643,0.143,0.071,10,0.71,1.11,0,2
Crossbowman,Paladin,Regular,44,31,0,1,12,0.977,0.023,0.273,421,9.57,9.79,5,11
Crossbowman,Paladin,Counterattack,28,17,4,3,4,0.750,0.107,0.143,28,1.00,1.33,0,10
Crossbowman,Priest,Regular,13,9,0,2,2,0.846,0.154,0.154,196,15.08,17.82,5,2
Crossbowman,Priest,Counterattack,8,3,3,1,1,0.500,0.125,0.125,28,3.50,7.00,1,2
Crossbowman,Ranger,Regular,16,11,0,3,2,0.812,0.188,0.125,239,14.94,18.38,7,2
Crossbowman,Ranger,Counterattack,13,6,3,4,0,0.462,0.308,0.000,22,1.69,3.67,0,2
Crossbowman,Rogue,Regular,2,2,0,0,0,1.000,0.000,0.000,40,20.00,20.00,0,2
Crossbowman,Rogue,Counterattack,2,1,1,0,0,0.500,0.000,0.000,5,2.50,5.00,0,2
Crossbowman,Scout,Regular,12,8,0,3,1,0.750,0.250,0.083,186,15.50,20.67,3,2
Crossbowman,Scout,Counterattack,15,9,1,2,3,0.800,0.133,0.200,96,6.40,8.00,6,2
Crossbowman,Skeleton Archer,Regular,10,7,0,3,0,0.700,0.300,0.000,172,17.20,24.57,4,2
Crossbowman,Skeleton Archer,Counterattack,8,4,1,2,1,0.625,0.250,0.125,59,7.38,11.80,2,2
Crossbowman,Sorcerer,Regular,18,12,0,4,2,0.778,0.222,0.111,310,17.22,22.14,6,3
Crossbowman,Sorcerer,Counterattack,16,8,6,0,2,0.625,0.000,0.125,70,4.38,7.00,3,2
Crossbowman,Spearman,Regular,2,1,0,0,1,1.000,0.000,0.500,29,14.50,14.50,0,1
Crossbowman,Spearman,Counterattack,2,2,0,0,0,1.000,0.000,0.000,2,1.00,1.00,0,1
Crossbowman,Swordsman,Regular,15,10,0,2,3,0.867,0.133,0.200,215,14.33,16.54,3,10
Crossbowman,Swordsman,Counterattack,4,2,2,0,0,0.500,0.000,0.000,2,0.50,1.00,0,4
Crossbowman,Warlock,Regular,13,10,0,0,3,1.000,0.000,0.231,280,21.54,21.54,6,3
Crossbowman,Warlock,Counterattack,9,4,0,1,4,0.889,0.111,0.444,66,7.33,8.25,2,2
Crossbowman,Warrior,Regular,32,24,0,7,1,0.781,0.219,0.031,265,8.28,10.60,2,7
Crossbowman,Warrior,Counterattack,21,11,4,1,5,0.762,0.048,0.238,34,1.62,2.12,0,6
Crossbowman,Wizard,Regular,18,15,0,1,2,0.944,0.056,0.111,365,20.28,21.47,6,8
Crossbowman,Wizard,Counterattack,13,6,3,2,2,0.615,0.154,0.154,64,4.92,8.00,1,2
Fighter,Archer,Regular,32,23,0,2,7,0.938,0.062,0.219,591,18.47,19.70,4,12
Fighter,Archer,Counterattack,12,6,3,1,2,0.667,0.083,0.167,53,4.42,6.62,2,7
Fighter,Assassin,Regular,28,24,0,4,0,0.857,0.143,0.000,419,14.96,17.46,2,9
Fighter,Assassin,Counterattack,9,2,2,3,2,0.444,0.333,0.222,34,3.78,8.50,2,5
Fighter,Battle Mage,Regular,31,24,0,3,4,0.903,0.097,0.129,336,10.84,12.00,6,3
Fighter,Battle Mage,Counterattack,22,14,2,3,3,0.773,0.136,0.136,37,1.68,2.18,0,3
Fighter,Cleric,Regular,20,11,0,7,2,0.650,0.350,0.100,151,7.55,11.62,3,5
Fighter,Cleric,Counterattack,20,12,2,2,4,0.800,0.100,0.200,32,1.60,2.00,1,4
Fighter,Crossbowman,Regular,25,19,0,2,4,0.920,0.080,0.160,324,12.96,14.09,4,5
Fighter,Crossbowman,Counterattack,20,12,4,0,4,0.800,0.000,0.200,40,2.00,2.50,4,4
Fighter,Fighter,Regular,51,41,0,3,7,0.941,0.059,0.137,287,5.63,5.98,5,9
Fighter,Fighter,Counterattack,36,19,10,4,3,0.611,0.111,0.083,22,0.61,1.00,0,9
Fighter,Goblin Raider,Regular,24,16,0,6,2,0.750,0.250,0.083,315,13.12,17.50,1,8
Fighter,Goblin Raider,Counterattack,24,15,5,1,3,0.750,0.042,0.125,117,4.88,6.50,1,5
Fighter,Knight,Regular,143,116,0,11,16,0.923,0.077,0.112,369,2.58,2.80,7,19
Fighter,Knight,Counterattack,115,68,25,11,11,0.687,0.096,0.096,79,0.69,1.00,0,11
Fighter,Mage,Regular,34,23,0,5,6,0.853,0.147,0.176,395,11.62,13.62,5,11
Fighter,Mage,Counterattack,29,20,4,0,5,0.862,0.000,0.172,52,1.79,2.08,0,5
Fighter,Marksman,Regular,24,16,0,2,6,0.917,0.083,0.250,467,19.46,21.23,9,7
Fighter,Marksman,Counterattack,21,10,7,2,2,0.571,0.095,0.095,89,4.24,7.42,0,5
Fighter,Ogre,Regular,35,31,0,1,3,0.971,0.029,0.086,99,2.83,2.91,3,2
Fighter,Ogre,Counterattack,29,19,8,0,2,0.724,0.000,0.069,21,0.72,1.00,0,2
Fighter,Orc Warrior,Regular,87,64,0,10,13,0.885,0.115,0.149,295,3.39,3.83,5,2
Fighter,Orc Warrior,Counterattack,87,46,22,11,8,0.621,0.126,0.092,54,0.62,1.00,0,2
Fighter,Paladin,Regular,118,103,0,5,10,0.958,0.042,0.085,434,3.68,3.84,5,12
Fighter,Paladin,Counterattack,96,67,13,3,13,0.833,0.031,0.135,80,0.83,1.00,4,7
Fighter,Priest,Regular,17,15,0,0,2,1.000,0.000,0.118,238,14.00,14.00,3,4
Fighter,Priest,Counterattack,11,9,0,0,2,1.000,0.000,0.182,62,5.64,5.64,2,3
Fighter,Ranger,Regular,36,23,0,8,5,0.778,0.222,0.139,406,11.28,14.50,11,7
Fighter,Ranger,Counterattack,22,14,6,0,2,0.727,0.000,0.091,32,1.45,2.00,0,3
Fighter,Rogue,Regular,27,18,0,7,2,0.741,0.259,0.074,344,12.74,17.20,3,6
Fighter,Rogue,Counterattack,24,12,7,4,1,0.542,0.167,0.042,53,2.21,4.08,0,4
Fighter,Scout,Regular,29,25,0,1,3,0.966,0.034,0.103,489,16.86,17.46,5,7
Fighter,Scout,Counterattack,21,9,2,8,2,0.524,0.381,0.095,58,2.76,5.27,0,5
