# Unit Overview
Unit,AttacksMade,AttacksReceived,OffHitRate,DefDodgeRate,OffCritRate,AvgDmgDealt,AvgDmgTaken,Kills,Deaths,KDRatio
Archer,169,264,0.929,0.098,0.201,18.89,20.72,44,57,0.77
Assassin,246,137,0.898,0.161,0.264,14.32,18.01,33,17,1.94
Battle Mage,324,155,0.920,0.116,0.114,7.17,14.56,27,32,0.84
Cleric,143,183,0.944,0.098,0.112,24.70,13.92,55,37,1.49
Crossbowman,166,199,0.898,0.116,0.193,15.85,17.48,47,43,1.09
Fighter,439,255,0.904,0.082,0.134,11.18,11.85,71,18,3.94
Goblin Raider,229,167,0.917,0.162,0.188,14.88,18.33,35,46,0.76
Knight,402,540,0.896,0.078,0.107,12.15,10.48,68,72,0.94
Mage,92,259,0.913,0.050,0.130,31.97,15.39,45,66,0.68
Marksman,156,172,0.897,0.151,0.224,14.42,19.73,36,67,0.54
Ogre,79,192,0.899,0.062,0.025,16.03,8.74,17,20,0.85
Orc Warrior,272,305,0.893,0.102,0.121,11.99,8.88,62,32,1.94
Paladin,461,496,0.900,0.077,0.074,9.43,9.62,66,66,1.00
Priest,133,177,0.850,0.062,0.128,22.29,16.23,40,53,0.75
Ranger,104,190,0.875,0.168,0.240,15.55,13.87,12,45,0.27
Rogue,243,129,0.897,0.186,0.272,11.41,17.19,19,38,0.50
Scout,189,190,0.926,0.137,0.233,6.93,18.41,24,71,0.34
Skeleton Archer,148,131,0.878,0.076,0.135,16.64,22.24,21,58,0.36
Sorcerer,107,229,0.925,0.083,0.065,34.07,17.92,48,54,0.89
Spearman,419,146,0.890,0.075,0.162,10.45,13.03,58,15,3.87
Swordsman,462,320,0.909,0.097,0.199,12.64,16.74,72,56,1.29
Warlock,40,220,0.950,0.082,0.075,28.07,17.37,18,56,0.32
Warrior,314,274,0.917,0.062,0.140,17.32,14.64,93,37,2.51
Wizard,234,241,0.915,0.066,0.090,34.94,18.03,104,59,1.76

# Compressed Matchups
Attacker,Defender,TotalAttacks,HitRate,CritRate,DodgeRate,TotalDamage,AvgDmgPerAttack,Kills,BattlesSampled
Assassin,Knight,36,0.861,0.167,0.139,117,3.25,1,5
Assassin,Mage,19,0.947,0.263,0.053,260,13.68,4,4
Assassin,Marksman,11,0.636,0.364,0.364,188,17.09,1,2
Assassin,Ogre,19,0.947,0.263,0.000,82,4.32,1,2
Assassin,Orc Warrior,18,0.833,0.278,0.111,65,3.61,0,1
Assassin,Paladin,27,0.926,0.333,0.037,142,5.26,1,6
Assassin,Priest,14,0.929,0.357,0.071,210,15.00,1,4
Assassin,Ranger,13,0.769,0.385,0.154,141,10.85,1,2
Assassin,Rogue,15,0.800,0.400,0.200,186,12.40,3,3
Assassin,Scout,19,0.789,0.105,0.158,224,11.79,4,2
Assassin,Skeleton Archer,10,0.900,0.400,0.100,204,20.40,5,3
Assassin,Sorcerer,14,0.857,0.357,0.143,216,15.43,2,3
Assassin,Spearman,10,0.900,0.200,0.000,71,7.10,0,4
Assassin,Swordsman,4,0.750,0.000,0.000,42,10.50,0,2
Assassin,Warlock,20,0.850,0.300,0.100,233,11.65,2,3
Assassin,Warrior,12,0.917,0.500,0.083,173,14.42,0,2
Assassin,Wizard,12,1.000,0.083,0.000,214,17.83,0,4
Battle Mage,Archer,26,0.846,0.000,0.115,192,7.38,7,2
Battle Mage,Assassin,12,0.750,0.083,0.167,80,6.67,0,1
Battle Mage,Cleric,31,0.903,0.097,0.032,131,4.23,3,1
Battle Mage,Crossbowman,30,0.700,0.000,0.133,98,3.27,0,1
Battle Mage,Fighter,15,0.733,0.133,0.200,21,1.40,0,1
Battle Mage,Goblin Raider,10,1.000,0.400,0.000,152,15.20,0,2
Battle Mage,Knight,24,0.917,0.042,0.000,28,1.17,0,1
Battle Mage,Mage,27,0.963,0.185,0.000,154,5.70,5,1
Battle Mage,Marksman,12,0.833,0.167,0.167,119,9.92,0,1
Battle Mage,Ogre,22,0.818,0.091,0.091,23,1.05,0,1
Battle Mage,Orc Warrior,36,0.861,0.028,0.028,31,0.86,0,1
Battle Mage,Paladin,68,0.897,0.176,0.044,105,1.54,0,3
Battle Mage,Priest,15,1.000,0.133,0.000,138,9.20,3,1
Battle Mage,Ranger,34,0.765,0.059,0.147,124,3.65,3,1
Battle Mage,Rogue,21,0.762,0.095,0.095,161,7.67,3,1
Battle Mage,Scout,18,0.722,0.111,0.167,126,7.00,0,1
Battle Mage,Skeleton Archer,9,1.000,0.111,0.000,143,15.89,0,1
Battle Mage,Sorcerer,19,0.947,0.053,0.053,161,8.47,6,1
Battle Mage,Spearman,18,0.833,0.000,0.000,39,2.17,0,1
Battle Mage,Swordsman,16,0.875,0.125,0.125,102,6.38,0,2
Battle Mage,Warlock,24,0.708,0.250,0.042,127,5.29,2,1
Battle Mage,Warrior,28,0.857,0.143,0.107,99,3.54,0,2
Battle Mage,Wizard,22,0.909,0.136,0.045,213,9.68,3,3
Cleric,Archer,16,0.750,0.188,0.125,318,19.88,7,4
Cleric,Assassin,7,0.714,0.143,0.143,155,22.14,2,2
Cleric,Battle Mage,6,1.000,0.000,0.000,120,20.00,0,1
Cleric,Cleric,5,0.600,0.200,0.200,68,13.60,1,1
Cleric,Crossbowman,6,1.000,0.000,0.000,186,31.00,0,1
Cleric,Fighter,7,0.571,0.000,0.286,86,12.29,0,2
Cleric,Goblin Raider,9,0.889,0.000,0.000,158,17.56,3,1
Cleric,Knight,10,1.000,0.000,0.000,122,12.20,2,1
Cleric,Mage,18,0.778,0.111,0.111,229,12.72,3,3
Cleric,Marksman,12,0.750,0.083,0.167,225,18.75,5,1
Cleric,Ogre,3,1.000,0.333,0.000,111,37.00,0,1
Cleric,Orc Warrior,16,0.875,0.062,0.062,113,7.06,2,1
Cleric,Paladin,15,0.733,0.200,0.067,225,15.00,2,3
Cleric,Priest,8,0.750,0.125,0.125,117,14.62,2,2
Cleric,Ranger,10,0.900,0.300,0.000,161,16.10,3,2
Cleric,Rogue,5,0.800,0.200,0.200,124,24.80,2,2
Cleric,Scout,13,0.769,0.077,0.154,243,18.69,6,2
Cleric,Skeleton Archer,8,1.000,0.125,0.000,162,20.25,4,1
Cleric,Sorcerer,10,0.800,0.000,0.000,138,13.80,0,2
Cleric,Spearman,9,1.000,0.000,0.000,163,18.11,0,2
Cleric,Swordsman,5,0.800,0.000,0.000,106,21.20,1,2
Cleric,Warlock,16,0.938,0.125,0.000,281,17.56,7,4
Cleric,Warrior,7,1.000,0.286,0.000,253,36.14,3,2
Cleric,Wizard,10,0.900,0.000,0.000,216,21.60,2,3
Crossbowman,Archer,15,0.733,0.200,0.200,261,17.40,4,4
Crossbowman,Assassin,3,1.000,0.333,0.000,79,26.33,0,1
Crossbowman,Battle Mage,13,0.923,0.385,0.000,184,14.15,4,1
Crossbowman,Cleric,14,0.571,0.143,0.143,138,9.86,3,1
Crossbowman,Fighter,3,0.333,0.000,0.333,12,4.00,0,2
Crossbowman,Goblin Raider,6,0.333,0.167,0.667,37,6.17,0,1
Crossbowman,Knight,35,0.943,0.143,0.000,217,6.20,3,6
Crossbowman,Mage,17,0.941,0.176,0.000,237,13.94,5,2
Crossbowman,Marksman,11,0.545,0.091,0.273,123,11.18,2,2
Crossbowman,Ogre,9,1.000,0.222,0.000,77,8.56,3,1
Crossbowman,Orc Warrior,13,0.769,0.077,0.154,36,2.77,0,2
Crossbowman,Paladin,29,0.931,0.138,0.069,189,6.52,3,5
Crossbowman,Priest,9,0.667,0.222,0.222,124,13.78,3,1
Crossbowman,Ranger,12,0.667,0.167,0.250,129,10.75,3,1
Crossbowman,Rogue,2,0.500,0.000,0.000,21,10.50,0,1
Crossbowman,Scout,12,0.917,0.167,0.083,163,13.58,5,1
Crossbowman,Skeleton Archer,6,1.000,0.000,0.000,122,20.33,3,1
Crossbowman,Sorcerer,16,0.750,0.125,0.062,236,14.75,5,2
Crossbowman,Spearman,4,1.000,0.250,0.000,31,7.75,0,1
Crossbowman,Swordsman,3,0.667,0.333,0.333,39,13.00,0,3
Crossbowman,Warlock,13,1.000,0.385,0.000,204,15.69,4,2
Crossbowman,Warrior,12,0.750,0.250,0.250,106,8.83,1,3
Crossbowman,Wizard,14,0.929,0.214,0.000,236,16.86,4,4
Fighter,Archer,22,0.864,0.182,0.045,342,15.55,2,6
Fighter,Assassin,16,0.812,0.125,0.188,222,13.88,2,4
Fighter,Battle Mage,25,0.920,0.200,0.080,204,8.16,4,2
Fighter,Cleric,16,0.875,0.188,0.062,146,9.12,1,2
Fighter,Crossbowman,14,0.929,0.357,0.071,179,12.79,3,2
Fighter,Fighter,33,0.879,0.121,0.030,188,5.70,2,5
Fighter,Goblin Raider,23,0.696,0.087,0.217,189,8.22,1,4
Fighter,Knight,83,0.819,0.120,0.096,233,2.81,5,10
Fighter,Mage,30,0.833,0.200,0.133,216,7.20,5,5
Fighter,Marksman,23,0.696,0.217,0.130,289,12.57,7,3
Fighter,Ogre,21,0.810,0.095,0.000,64,3.05,3,1
Fighter,Orc Warrior,60,0.717,0.133,0.117,172,2.87,1,1
Fighter,Paladin,76,0.921,0.118,0.026,279,3.67,7,6
Fighter,Priest,15,1.000,0.133,0.000,147,9.80,4,2
Fighter,Ranger,23,0.783,0.174,0.174,213,9.26,6,3
Fighter,Rogue,22,0.682,0.045,0.182,218,9.91,1,3
Fighter,Scout,28,0.714,0.107,0.214,321,11.46,4,4
Fighter,Skeleton Archer,15,0.733,0.067,0.133,153,10.20,4,2
Fighter,Sorcerer,12,1.000,0.000,0.000,204,17.00,0,3
Fighter,Spearman,55,0.800,0.127,0.055,255,4.64,5,3
Fighter,Swordsman,46,0.804,0.196,0.109,479,10.41,5,11
Fighter,Warlock,21,0.952,0.143,0.048,212,10.10,2,4
Fighter,Warrior,34,0.853,0.235,0.029,269,7.91,6,6
Fighter,Wizard,21,0.952,0.048,0.048,339,16.14,3,6
Goblin Raider,Archer,24,0.917,0.167,0.042,418,17.42,3,6
Goblin Raider,Assassin,5,1.000,0.200,0.000,107,21.40,0,3
Goblin Raider,Cleric,13,0.769,0.000,0.154,112,8.62,3,1
Goblin Raider,Crossbowman,17,0.941,0.294,0.059,222,13.06,0,2
Goblin Raider,Fighter,7,0.857,0.429,0.000,82,11.71,1,2
Goblin Raider,Knight,40,0.950,0.100,0.025,251,6.28,5,6
Goblin Raider,Mage,15,0.733,0.200,0.000,171,11.40,4,1
Goblin Raider,Marksman,17,0.824,0.000,0.118,220,12.94,4,3
Goblin Raider,Ogre,18,0.778,0.056,0.056,46,2.56,0,1
Goblin Raider,Orc Warrior,8,0.625,0.250,0.125,50,6.25,0,1
Goblin Raider,Paladin,34,0.824,0.206,0.118,234,6.88,3,5
Goblin Raider,Priest,11,0.818,0.273,0.182,183,16.64,2,1
Goblin Raider,Ranger,12,0.917,0.083,0.000,122,10.17,0,1
Goblin Raider,Rogue,2,1.000,0.000,0.000,24,12.00,0,1
Goblin Raider,Scout,15,0.800,0.067,0.133,192,12.80,3,1
Goblin Raider,Skeleton Archer,15,0.867,0.067,0.067,214,14.27,3,2
Goblin Raider,Sorcerer,13,0.923,0.538,0.000,234,18.00,3,2
Goblin Raider,Spearman,2,0.500,0.000,0.500,12,6.00,0,1
Goblin Raider,Swordsman,19,0.947,0.211,0.053,276,14.53,1,5
Goblin Raider,Warlock,20,0.700,0.150,0.050,188,9.40,0,2
Goblin Raider,Warrior,9,0.778,0.000,0.111,57,6.33,0,1
Goblin Raider,Wizard,25,0.840,0.160,0.120,384,15.36,5,5
Knight,Archer,31,0.871,0.097,0.032,418,13.48,4,10
Knight,Assassin,22,0.727,0.045,0.182,222,10.09,0,4
Knight,Battle Mage,21,0.857,0.048,0.048,179,8.52,3,1
Knight,Cleric,16,0.750,0.125,0.125,125,7.81,2,1
Knight,Crossbowman,44,0.591,0.114,0.250,306,6.95,3,7
Knight,Fighter,72,0.806,0.083,0.056,338,4.69,2,10
Knight,Goblin Raider,29,0.862,0.207,0.103,347,11.97,7,5
Knight,Knight,59,0.864,0.051,0.102,201,3.41,0,11
Knight,Mage,25,0.880,0.160,0.080,227,9.08,4,4
Knight,Marksman,28,0.786,0.036,0.143,297,10.61,4,5
Knight,Ogre,21,0.952,0.143,0.000,58,2.76,3,1
Knight,Orc Warrior,29,0.862,0.034,0.103,103,3.55,1,2
Knight,Paladin,82,0.915,0.085,0.037,359,4.38,2,12
Knight,Priest,27,0.889,0.000,0.037,276,10.22,3,4
Knight,Ranger,21,0.905,0.048,0.095,188,8.95,3,4
Knight,Rogue,17,0.588,0.118,0.235,132,7.76,2,3
Knight,Scout,22,0.773,0.000,0.136,246,11.18,4,3
Knight,Skeleton Archer,18,0.944,0.111,0.056,261,14.50,8,4
Knight,Sorcerer,20,0.850,0.050,0.100,223,11.15,0,5
Knight,Spearman,34,0.794,0.147,0.088,195,5.74,4,4
Knight,Swordsman,44,0.773,0.068,0.091,367,8.34,7,12
Knight,Warlock,21,0.857,0.190,0.095,201,9.57,2,3
Knight,Warrior,45,0.733,0.111,0.133,304,6.76,4,8
Knight,Wizard,15,0.800,0.133,0.067,168,11.20,2,2
Mage,Archer,7,0.857,0.000,0.000,124,17.71,1,3
Mage,Assassin,4,0.500,0.250,0.250,67,16.75,1,2
Mage,Battle Mage,6,1.000,0.000,0.000,114,19.00,3,1
Mage,Cleric,3,1.000,0.333,0.000,103,34.33,1,1
Mage,Crossbowman,7,0.714,0.143,0.143,120,17.14,2,2
Mage,Fighter,11,0.818,0.182,0.091,324,29.45,3,6
Mage,Goblin Raider,4,1.000,0.000,0.000,96,24.00,2,1
Mage,Knight,18,0.833,0.000,0.111,430,23.89,6,8
Mage,Mage,1,1.000,0.000,0.000,28,28.00,0,1
Mage,Marksman,6,0.667,0.000,0.167,96,16.00,2,1
Mage,Ogre,8,1.000,0.250,0.000,221,27.62,4,2
Mage,Orc Warrior,7,1.000,0.143,0.000,188,26.86,4,2
Mage,Paladin,15,1.000,0.133,0.000,388,25.87,5,5
Mage,Priest,2,1.000,0.000,0.000,38,19.00,1,1
Mage,Ranger,3,0.667,0.333,0.333,79,26.33,1,1
Mage,Rogue,3,1.000,0.000,0.000,102,34.00,0,1
Mage,Scout,6,0.833,0.333,0.167,168,28.00,3,1
Mage,Skeleton Archer,3,1.000,0.333,0.000,109,36.33,1,1
Mage,Sorcerer,7,1.000,0.286,0.000,118,16.86,2,2
Mage,Spearman,3,1.000,0.000,0.000,102,34.00,0,1
Mage,Swordsman,8,0.875,0.000,0.125,198,24.75,1,4
Mage,Warlock,6,0.833,0.000,0.000,100,16.67,3,1
Mage,Warrior,7,0.857,0.000,0.143,184,26.29,2,4
Mage,Wizard,3,1.000,0.000,0.000,41,13.67,1,1
Marksman,Archer,12,0.917,0.083,0.000,200,16.67,2,3
Marksman,Assassin,1,0.000,0.000,1.000,0,0.00,0,1
Marksman,Battle Mage,3,1.000,0.000,0.000,35,11.67,1,2
Marksman,Cleric,13,0.846,0.308,0.077,139,10.69,3,2
Marksman,Crossbowman,13,0.923,0.154,0.000,164,12.62,3,1
Marksman,Fighter,5,0.800,0.200,0.200,43,8.60,0,3
Marksman,Goblin Raider,13,0.769,0.154,0.231,131,10.08,1,4
Marksman,Knight,27,0.889,0.185,0.111,119,4.41,1,8
Marksman,Mage,16,0.750,0.188,0.125,169,10.56,2,2
Marksman,Ogre,9,0.889,0.333,0.111,69,7.67,0,1
Marksman,Orc Warrior,9,0.778,0.333,0.111,30,3.33,0,1
Marksman,Paladin,16,0.938,0.125,0.062,99,6.19,3,5
Marksman,Priest,14,0.857,0.143,0.071,127,9.07,3,1
Marksman,Ranger,12,0.750,0.250,0.250,122,10.17,3,2
Marksman,Rogue,4,0.250,0.000,0.500,19,4.75,0,1
Marksman,Scout,12,0.833,0.417,0.167,161,13.42,3,1
Marksman,Skeleton Archer,6,1.000,0.333,0.000,136,22.67,3,2
Marksman,Sorcerer,16,0.750,0.062,0.000,188,11.75,3,2
Marksman,Spearman,9,0.889,0.111,0.000,60,6.67,1,4
Marksman,Swordsman,6,1.000,0.000,0.000,90,15.00,0,4
Marksman,Warlock,15,0.933,0.333,0.000,202,13.47,4,2
Marksman,Warrior,8,0.875,0.250,0.000,86,10.75,0,3
Marksman,Wizard,15,0.933,0.267,0.067,224,14.93,5,3
Ogre,Archer,3,0.667,0.000,0.333,30,10.00,0,1
Ogre,Assassin,9,0.889,0.111,0.000,141,15.67,2,2
Ogre,Battle Mage,13,0.846,0.154,0.154,148,11.38,3,1
Ogre,Crossbowman,2,1.000,0.500,0.000,35,17.50,0,1
Ogre,Fighter,6,0.667,0.000,0.333,26,4.33,0,1
Ogre,Goblin Raider,10,0.800,0.000,0.000,134,13.40,3,1
Ogre,Knight,7,0.857,0.000,0.143,38,5.43,0,1
Ogre,Mage,3,1.000,0.000,0.000,54,18.00,1,3
Ogre,Marksman,2,1.000,0.000,0.000,32,16.00,0,1
Ogre,Orc Warrior,9,1.000,0.222,0.000,65,7.22,1,1
Ogre,Paladin,24,0.750,0.000,0.167,108,4.50,2,1
Ogre,Ranger,5,1.000,0.000,0.000,81,16.20,1,3
Ogre,Rogue,6,1.000,0.000,0.000,84,14.00,1,1
Ogre,Scout,11,0.818,0.000,0.091,142,12.91,3,1
Ogre,Skeleton Archer,8,0.875,0.000,0.125,147,18.38,2,3
Ogre,Spearman,5,1.000,0.000,0.000,47,9.40,1,1
Ogre,Swordsman,11,0.727,0.000,0.182,80,7.27,1,1
Ogre,Warlock,2,1.000,0.000,0.000,38,19.00,0,2
Ogre,Warrior,2,0.500,0.000,0.000,14,7.00,0,1
Ogre,Wizard,2,1.000,0.000,0.000,42,21.00,0,2
Orc Warrior,Archer,15,0.867,0.133,0.067,199,13.27,0,1
Orc Warrior,Assassin,15,0.800,0.133,0.133,176,11.73,3,1
Orc Warrior,Battle Mage,21,0.810,0.048,0.095,166,7.90,2,1
Orc Warrior,Cleric,17,0.824,0.118,0.118,140,8.24,2,1
Orc Warrior,Crossbowman,21,0.810,0.048,0.095,166,7.90,3,1
Orc Warrior,Fighter,20,0.550,0.000,0.150,65,3.25,1,2
Orc Warrior,Goblin Raider,15,0.867,0.067,0.133,166,11.07,3,1
Orc Warrior,Knight,40,0.850,0.175,0.000,163,4.08,3,2
Orc Warrior,Mage,27,0.926,0.111,0.000,236,8.74,6,2
Orc Warrior,Marksman,18,0.889,0.167,0.111,238,13.22,5,1
Orc Warrior,Ogre,28,0.821,0.107,0.071,58,2.07,0,1
Orc Warrior,Paladin,55,0.745,0.036,0.127,183,3.33,6,2
Orc Warrior,Priest,11,1.000,0.091,0.000,126,11.45,3,1
Orc Warrior,Ranger,21,0.810,0.095,0.143,216,10.29,4,2
Orc Warrior,Rogue,18,0.611,0.167,0.111,170,9.44,1,1
Orc Warrior,Scout,15,0.733,0.067,0.267,137,9.13,3,1
Orc Warrior,Skeleton Archer,17,0.882,0.118,0.118,267,15.71,7,2
Orc Warrior,Sorcerer,17,0.882,0.176,0.118,173,10.18,2,2
Orc Warrior,Spearman,22,0.545,0.091,0.091,115,5.23,2,1
Orc Warrior,Swordsman,37,0.811,0.135,0.054,249,6.73,4,2
Orc Warrior,Warlock,22,0.955,0.091,0.045,183,8.32,4,2
Orc Warrior,Warrior,20,0.850,0.150,0.050,122,6.10,3,1
Orc Warrior,Wizard,21,0.714,0.048,0.143,146,6.95,5,2
Paladin,Archer,45,0.800,0.133,0.067,455,10.11,5,10
Paladin,Assassin,25,0.800,0.120,0.120,265,10.60,1,7
Paladin,Battle Mage,37,0.757,0.108,0.108,223,6.03,3,3
Paladin,Cleric,17,0.882,0.118,0.000,145,8.53,2,2
Paladin,Crossbowman,36,0.750,0.083,0.111,192,5.33,3,5
Paladin,Fighter,44,0.818,0.023,0.068,132,3.00,1,10
Paladin,Goblin Raider,46,0.783,0.109,0.109,370,8.04,2,6
Paladin,Knight,74,0.878,0.068,0.054,129,1.74,0,12
Paladin,Mage,36,0.806,0.056,0.056,244,6.78,7,7
Paladin,Marksman,26,0.692,0.077,0.154,243,9.35,1,6
Paladin,Ogre,54,0.852,0.037,0.093,56,1.04,1,1
Paladin,Orc Warrior,38,0.789,0.026,0.132,91,2.39,1,2
Paladin,Paladin,35,0.829,0.057,0.086,96,2.74,2,11
Paladin,Priest,31,0.839,0.129,0.032,300,9.68,7,4
Paladin,Ranger,24,0.750,0.042,0.250,146,6.08,1,3
Paladin,Rogue,14,0.357,0.000,0.286,70,5.00,3,2
Paladin,Scout,28,0.714,0.107,0.214,245,8.75,7,3
Paladin,Skeleton Archer,17,0.941,0.176,0.000,253,14.88,7,2
Paladin,Sorcerer,80,0.775,0.100,0.062,603,7.54,14,6
Paladin,Spearman,22,0.682,0.182,0.227,81,3.68,1,5
Paladin,Swordsman,45,0.756,0.067,0.200,274,6.09,2,13
Paladin,Warlock,39,0.821,0.103,0.051,254,6.51,4,5
Paladin,Warrior,38,0.868,0.079,0.026,189,4.97,2,8
Paladin,Wizard,19,0.842,0.000,0.053,164,8.63,3,3
Priest,Archer,6,0.833,0.167,0.167,156,26.00,1,1
Priest,Assassin,3,0.333,0.333,0.333,44,14.67,1,2
Priest,Battle Mage,4,0.500,0.000,0.250,24,6.00,0,1
Priest,Cleric,7,0.857,0.143,0.000,87,12.43,2,1
Priest,Crossbowman,8,0.750,0.125,0.125,125,15.62,3,1
Priest,Fighter,7,1.000,0.000,0.000,175,25.00,0,2
Priest,Goblin Raider,8,0.875,0.125,0.000,153,19.12,4,1
Priest,Knight,9,0.778,0.111,0.222,104,11.56,2,1
Priest,Mage,7,1.000,0.143,0.000,160,22.86,0,2
Priest,Marksman,11,0.727,0.091,0.182,223,20.27,3,3
Priest,Ogre,3,1.000,0.000,0.000,84,28.00,0,1
Priest,Orc Warrior,6,1.000,0.167,0.000,138,23.00,0,1
Priest,Paladin,10,1.000,0.300,0.000,179,17.90,3,1
Priest,Ranger,6,0.833,0.000,0.167,112,18.67,0,1
Priest,Rogue,4,0.750,0.250,0.000,75,18.75,1,1
Priest,Scout,6,0.833,0.000,0.167,134,22.33,0,1
Priest,Skeleton Archer,8,0.875,0.125,0.125,108,13.50,3,1
Priest,Sorcerer,12,0.667,0.000,0.333,151,12.58,2,3
Priest,Spearman,8,0.875,0.000,0.125,102,12.75,1,1
Priest,Swordsman,10,0.900,0.400,0.000,282,28.20,6,4
Priest,Warlock,14,0.643,0.000,0.143,147,10.50,1,3
Priest,Warrior,11,0.818,0.000,0.182,184,16.73,2,3
Priest,Wizard,25,0.800,0.160,0.120,399,15.96,7,6
Ranger,Archer,3,1.000,0.333,0.000,69,23.00,0,1
Ranger,Assassin,3,0.667,0.667,0.333,62,20.67,0,1
Ranger,Battle Mage,3,1.000,0.333,0.000,42,14.00,0,1
Ranger,Cleric,5,1.000,0.000,0.000,41,8.20,1,1
Ranger,Crossbowman,3,1.000,0.667,0.000,81,27.00,0,1
Ranger,Fighter,6,1.000,0.667,0.000,88,14.67,0,1
Ranger,Goblin Raider,3,1.000,0.333,0.000,69,23.00,0,1
Ranger,Knight,11,0.909,0.364,0.091,160,14.55,2,4
Ranger,Mage,10,0.800,0.200,0.000,85,8.50,0,2
Ranger,Marksman,9,0.778,0.111,0.111,115,12.78,1,2
Ranger,Ogre,9,0.667,0.111,0.111,72,8.00,0,2
Ranger,Orc Warrior,15,0.667,0.200,0.200,110,7.33,1,2
Ranger,Paladin,7,0.714,0.429,0.286,57,8.14,1,1
Ranger,Priest,6,0.833,0.167,0.000,41,6.83,1,1
Ranger,Ranger,8,0.250,0.000,0.375,30,3.75,0,1
